num,arg_count,one_count,flag,hex_func,npn_class_len
1,4,0,U,0000,2
2,4,1,S,0001,32
3,4,2,U,0003,64
4,4,2,S,0006,96
5,4,2,S,0018,64
6,4,2,S,0180,16
7,4,3,S,0007,192
8,4,3,S,0016,128
9,4,3,S,0019,384
10,4,3,S,0118,192
11,4,3,S,0181,128
12,4,3,S,0182,96
13,4,4,U,000f,48
14,4,4,S,0017,128
15,4,4,S,001b,384
16,4,4,S,001e,384
17,4,4,U,003c,96
18,4,4,S,0069,32
19,4,4,S,0116,32
20,4,4,S,0119,192
21,4,4,S,011a,384
22,4,4,S,012c,384
23,4,4,S,0168,128
24,4,4,S,0183,384
25,4,4,S,0186,192
26,4,4,S,0189,192
27,4,4,S,0198,384
28,4,4,S,01a8,192
29,4,4,U,03c0,32
30,4,4,S,0660,24
31,4,4,S,0690,48
32,4,5,S,001f,384
33,4,5,S,003d,384
34,4,5,S,006b,128
35,4,5,S,0117,32
36,4,5,S,011b,384
37,4,5,S,011e,192
38,4,5,S,012d,768
39,4,5,S,013c,384
40,4,5,S,0169,128
41,4,5,S,016a,384
42,4,5,S,0187,384
43,4,5,S,018b,384
44,4,5,S,0196,128
45,4,5,S,0199,384
46,4,5,S,019a,768
47,4,5,S,01a9,384
48,4,5,S,01aa,192
49,4,5,S,01ac,768
50,4,5,S,01e8,128
51,4,5,S,0358,384
52,4,5,S,0368,384
53,4,5,S,03c1,384
54,4,5,S,0661,96
55,4,5,S,0662,192
56,4,5,S,0691,384
57,4,5,S,06b0,192
58,4,5,S,1681,32
59,4,6,U,003f,192
60,4,6,S,006f,192
61,4,6,S,007e,64
62,4,6,S,011f,192
63,4,6,S,012f,384
64,4,6,S,013d,384
65,4,6,S,013e,384
66,4,6,S,016b,384
67,4,6,S,016e,384
68,4,6,S,018f,192
69,4,6,S,0197,128
70,4,6,S,019b,768
71,4,6,S,019e,384
72,4,6,S,01ab,384
73,4,6,S,01ad,768
74,4,6,S,01ae,768
75,4,6,S,01bc,384
76,4,6,S,01e9,128
77,4,6,S,01ea,384
78,4,6,U,033c,64
79,4,6,S,0356,96
80,4,6,S,0359,384
81,4,6,S,035a,768
82,4,6,S,0369,384
83,4,6,S,036a,384
84,4,6,S,036c,768
85,4,6,U,03c3,192
86,4,6,S,03c5,384
87,4,6,S,03c6,384
88,4,6,S,03d4,384
89,4,6,S,03d8,384
90,4,6,S,0663,384
91,4,6,S,0666,96
92,4,6,S,0669,96
93,4,6,S,0672,384
94,4,6,S,0678,384
95,4,6,S,0693,384
96,4,6,S,0696,192
97,4,6,S,06b1,768
98,4,6,S,06b2,384
99,4,6,S,06b4,384
100,4,6,S,06f0,96
101,4,6,S,07b0,192
102,4,6,S,07e0,96
103,4,6,S,1668,16
104,4,6,S,1683,192
105,4,6,S,1686,192
106,4,6,S,1689,128
107,4,6,S,1698,192
108,4,6,S,1781,32
109,4,7,S,007f,128
110,4,7,S,013f,384
111,4,7,S,016f,384
112,4,7,S,017e,128
113,4,7,S,019f,384
114,4,7,S,01af,768
115,4,7,S,01bd,384
116,4,7,S,01be,384
117,4,7,S,01eb,384
118,4,7,S,01ee,384
119,4,7,S,033d,128
120,4,7,S,0357,96
121,4,7,S,035b,768
122,4,7,S,035e,384
123,4,7,S,036b,384
124,4,7,S,036d,768
125,4,7,S,036e,768
126,4,7,S,037c,384
127,4,7,S,03c7,768
128,4,7,S,03d5,384
129,4,7,S,03d6,384
130,4,7,S,03d9,768
131,4,7,S,03dc,768
132,4,7,S,0667,192
133,4,7,S,066b,192
134,4,7,S,0673,384
135,4,7,S,0676,384
136,4,7,S,0679,384
137,4,7,S,067a,768
138,4,7,S,0697,384
139,4,7,S,06b3,768
140,4,7,S,06b5,768
141,4,7,S,06b6,384
142,4,7,S,06b9,384
143,4,7,S,06f1,384
144,4,7,S,06f2,384
145,4,7,S,0778,192
146,4,7,S,07b1,768
147,4,7,S,07b4,768
148,4,7,S,07e1,384
149,4,7,S,07e2,384
150,4,7,S,07f0,192
151,4,7,S,1669,32
152,4,7,S,166a,128
153,4,7,S,1687,384
154,4,7,S,168b,384
155,4,7,S,168e,384
156,4,7,S,1696,128
157,4,7,S,1699,384
158,4,7,S,169a,768
159,4,7,S,16a9,192
160,4,7,S,16ac,384
161,4,7,S,1783,192
162,4,7,S,1789,128
163,4,7,S,1798,384
164,4,7,S,19e1,96
165,4,8,U,00ff,8
166,4,8,S,017f,64
167,4,8,S,01bf,192
168,4,8,S,01ef,192
169,4,8,S,01fe,64
170,4,8,U,033f,32
171,4,8,S,035f,192
172,4,8,S,036f,384
173,4,8,S,037d,384
174,4,8,S,037e,384
175,4,8,U,03cf,96
176,4,8,S,03d7,384
177,4,8,S,03db,384
178,4,8,S,03dd,384
179,4,8,S,03de,768
180,4,8,U,03fc,96
181,4,8,S,066f,48
182,4,8,S,067b,384
183,4,8,S,067e,384
184,4,8,S,069f,48
185,4,8,S,06b7,384
186,4,8,S,06bd,384
187,4,8,S,06f6,96
188,4,8,S,06f9,96
189,4,8,S,0776,96
190,4,8,S,0779,192
191,4,8,S,077a,384
192,4,8,S,07b5,384
193,4,8,S,07b6,768
194,4,8,S,07bc,384
195,4,8,S,07e3,384
196,4,8,S,07e6,192
197,4,8,S,07e9,192
198,4,8,S,07f1,192
199,4,8,S,07f2,384
200,4,8,S,07f8,192
201,4,8,U,0ff0,12
202,4,8,S,166b,64
203,4,8,S,166e,192
204,4,8,S,1697,64
205,4,8,S,169b,384
206,4,8,S,169e,192
207,4,8,S,16ad,384
208,4,8,S,16bc,384
209,4,8,S,16e9,64
210,4,8,S,178e,96
211,4,8,S,1796,64
212,4,8,S,179a,384
213,4,8,S,17ac,384
214,4,8,S,17e8,32
215,4,8,S,18e7,32
216,4,8,S,19e3,192
217,4,8,S,19e6,192
218,4,8,S,1bd8,24
219,4,8,S,1be4,96
220,4,8,S,1ee1,48
221,4,8,U,3cc3,8
222,4,8,S,6996,2
